AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2022-23,40,5.8,5.4,6,8.4,28,"3,484","2,152","4,946","59,012",> 100%
National,,All,2022-23,41,5.8,5.5,6,8.4,55,"3,496","2,095","4,979","59,135",> 100%
National,,All,2022-23,42,5.9,5.6,6.4,8.8,54,"3,749","2,147","5,225","59,385",> 100%
National,,All,2022-23,43,6,5.7,6.2,8.6,85,"3,591","2,189","5,112","59,205",> 100%
National,,All,2022-23,44,6.1,5.8,6.4,8.8,146,"3,696","2,185","5,261","59,898",> 100%
National,,All,2022-23,45,6.2,5.9,6.6,9,203,"3,730","2,130","5,373","59,747",> 100%
National,,All,2022-23,46,6.3,6,6.7,9.2,232,"3,810","2,173","5,485","59,908",> 100%
National,,All,2022-23,47,6.4,6.1,7.2,9.7,384,"4,110","2,364","6,009","62,075",> 100%
National,,All,2022-23,48,6.5,6.2,8.3,10.7,763,"4,383","2,427","6,678","62,372",> 100%
National,,All,2022-23,49,6.6,6.3,8.9,11.6,893,"4,532","2,739","7,120","61,192",> 100%
National,,All,2022-23,50,6.7,6.4,9,12,873,"4,091","2,663","6,617","55,134",> 100%
National,,All,2022-23,51,6.8,6.5,8.7,11.7,704,"3,560","2,379","5,727","48,978",> 100%
National,,All,2022-23,52,6.9,6.6,9,12.4,597,"3,289","2,254","5,319","43,012",90.4%
National,,All,2022-23,1,7,6.7,9.3,13.1,353,"1,893","1,433","3,151","24,093",50.6%
National,,All,2021-22,40,5.7,5.4,14.2,20.6,20,"9,743","11,177","14,177","68,969",> 100%
National,,All,2021-22,41,5.8,5.5,13.1,19.1,11,"8,853","9,878","12,866","67,422",> 100%
National,,All,2021-22,42,5.9,5.6,12.4,17.8,15,"8,255","8,941","11,899","66,923",> 100%
National,,All,2021-22,43,6,5.7,11.8,16.6,14,"7,789","7,959","11,033","66,321",> 100%
National,,All,2021-22,44,6.1,5.8,11,15.6,7,"7,302","7,287","10,382","66,493",> 100%
National,,All,2021-22,45,6.2,5.9,10.7,15.3,26,"7,205","7,159","10,275","67,323",> 100%
National,,All,2021-22,46,6.3,6,11,15.7,16,"7,324","7,309","10,499","66,812",> 100%
National,,All,2021-22,47,6.4,6.1,11.2,16.4,19,"7,590","7,886","11,101","67,820",> 100%
National,,All,2021-22,48,6.5,6.2,11.9,17.4,37,"8,324","8,781","12,154","70,021",> 100%
National,,All,2021-22,49,6.6,6.3,12.6,18.4,56,"8,987","9,734","13,212","71,985",> 100%
National,,All,2021-22,50,6.7,6.4,13.2,19.2,58,"9,303","10,249","13,651","71,176",> 100%
National,,All,2021-22,51,6.8,6.5,13.2,19.4,86,"9,418","10,455","14,020","72,132",> 100%
National,,All,2021-22,52,6.9,6.6,13.7,20.8,152,"10,046","11,670","15,403","74,226",> 100%
National,,All,2021-22,1,7,6.7,15.1,23.9,188,"11,789","15,103","19,010","79,576",> 100%
National,,All,2021-22,2,7.1,6.7,16.1,26.8,142,"13,523","19,053","22,775","84,856",> 100%
National,,All,2021-22,3,7.1,6.8,17,29.2,149,"14,388","21,297","24,902","85,371",> 100%
National,,All,2021-22,4,7.2,6.9,16.9,28.8,93,"14,230","20,929","24,387","84,820",> 100%
National,,All,2021-22,5,7.2,6.9,16.4,27.3,88,"13,200","18,716","22,121","80,953",> 100%
National,,All,2021-22,6,7.2,6.9,14.5,23.9,85,"11,065","15,277","18,408","76,863",> 100%
National,,All,2021-22,7,7.2,6.9,13,20.7,67,"9,112","11,521","14,608","70,640",> 100%
National,,All,2021-22,8,7.2,6.9,11.2,17.3,65,"7,282","8,267","11,360","65,835",> 100%
National,,All,2021-22,9,7.2,6.9,9.6,14.2,62,"6,104","6,030","9,110","64,247",> 100%
National,,All,2021-22,10,7.2,6.9,7.9,11.7,64,"4,818","4,385","7,224","61,672",> 100%
National,,All,2021-22,11,7.1,6.8,7.4,10.1,65,"4,399","3,113","6,125","60,384",> 100%
National,,All,2021-22,12,7.1,6.8,6.9,9.3,84,"3,934","2,499","5,421","58,389",> 100%
National,,All,2021-22,13,7,6.7,6.4,8.4,75,"3,603","1,903","4,830","57,836",> 100%
National,,All,2021-22,14,7,6.7,5.9,7.7,95,"3,325","1,547","4,413","57,580",> 100%
National,,All,2021-22,15,6.9,6.6,6.1,7.6,94,"3,396","1,402","4,385","57,622",> 100%
National,,All,2021-22,16,6.8,6.5,6,7.6,105,"3,307","1,343","4,272","56,573",> 100%
National,,All,2021-22,17,6.7,6.4,6,7.6,95,"3,309","1,422","4,326","57,191",> 100%
National,,All,2021-22,18,6.6,6.3,5.8,7.5,82,"3,245","1,429","4,280","57,388",> 100%
National,,All,2021-22,19,6.5,6.2,6,7.9,97,"3,379","1,661","4,588","57,785",> 100%
National,,All,2021-22,20,6.4,6.1,6.3,8.3,89,"3,511","1,740","4,798","57,514",> 100%
National,,All,2021-22,21,6.3,6,6,8.2,83,"3,358","1,935","4,685","56,966",> 100%
National,,All,2021-22,22,6.2,5.9,6.3,8.6,82,"3,524","1,994","4,927","57,450",> 100%
National,,All,2021-22,23,6.1,5.8,6.2,8.6,71,"3,516","2,118","4,960","57,897",> 100%
National,,All,2021-22,24,6,5.7,6.3,8.8,73,"3,558","2,185","5,047","57,601",> 100%
National,,All,2021-22,25,5.9,5.6,6.1,8.7,35,"3,504","2,315","5,040","58,142",> 100%
National,,All,2021-22,26,5.8,5.5,6.1,8.7,40,"3,467","2,407","5,060","57,897",> 100%
National,,All,2021-22,27,5.7,5.4,6.2,9.1,35,"3,578","2,574","5,264","58,001",> 100%
National,,All,2021-22,28,5.7,5.3,6.2,9.5,18,"3,579","2,907","5,534","58,281",> 100%
National,,All,2021-22,29,5.6,5.3,6.4,10,24,"3,792","3,205","5,947","59,602",> 100%
National,,All,2021-22,30,5.5,5.2,6.5,10.3,22,"3,807","3,371","6,023","58,566",> 100%
National,,All,2021-22,31,5.5,5.2,6.4,10.2,15,"3,788","3,336","5,998","58,996",> 100%
National,,All,2021-22,32,5.5,5.2,6.6,10.1,14,"3,818","3,250","5,908","58,401",> 100%
National,,All,2021-22,33,5.5,5.2,6.4,9.9,19,"3,703","3,131","5,735","58,175",> 100%
National,,All,2021-22,34,5.5,5.2,6.3,9.7,13,"3,664","3,001","5,610","57,956",> 100%
National,,All,2021-22,35,5.5,5.2,6.2,9.4,12,"3,542","2,883","5,424","57,780",> 100%
National,,All,2021-22,36,5.5,5.2,6.1,9.3,18,"3,571","2,769","5,428","58,362",> 100%
National,,All,2021-22,37,5.6,5.3,6.2,9,17,"3,563","2,471","5,210","57,913",> 100%
National,,All,2021-22,38,5.6,5.3,6.1,9,19,"3,556","2,513","5,236","58,373",> 100%
National,,All,2021-22,39,5.7,5.4,6.1,8.7,24,"3,518","2,342","5,055","58,120",> 100%
National,,All,2020-21,40,5.6,5.3,8.1,11.8,8,"4,829","4,240","7,038","59,712",> 100%
National,,All,2020-21,41,5.7,5.4,8.4,12.4,12,"5,186","4,813","7,644","61,672",> 100%
National,,All,2020-21,42,5.8,5.5,8.7,13.2,16,"5,218","5,195","7,964","60,507",> 100%
National,,All,2020-21,43,5.9,5.6,9.1,14.3,15,"5,646","5,990","8,898","62,093",> 100%
National,,All,2020-21,44,6,5.7,9.7,15.7,21,"6,145","7,019","9,926","63,327",> 100%
National,,All,2020-21,45,6.1,5.8,10.5,17.4,21,"7,090","8,754","11,771","67,473",> 100%
National,,All,2020-21,46,6.2,5.9,11.8,19.9,20,"8,060","10,644","13,681","68,729",> 100%
National,,All,2020-21,47,6.3,6,13.2,23,30,"9,419","13,343","16,460","71,539",> 100%
National,,All,2020-21,48,6.4,6.1,14.3,25.4,27,"10,465","15,615","18,590","73,182",> 100%
National,,All,2020-21,49,6.5,6.2,15.7,28.1,35,"12,071","18,545","21,746","77,275",> 100%
National,,All,2020-21,50,6.6,6.3,16.2,29.5,29,"13,269","20,913","24,173","81,861",> 100%
National,,All,2020-21,51,6.7,6.4,17.3,30.9,32,"14,293","22,313","25,611","82,800",> 100%
National,,All,2020-21,52,6.8,6.5,17.7,31.7,32,"14,894","23,363","26,693","84,224",> 100%
National,,All,2020-21,53,6.9,6.6,18.5,32.5,43,"16,037","24,842","28,268","86,858",> 100%
National,,All,2020-21,1,7,6.7,19.4,33.8,32,"16,800","25,973","29,362","86,888",> 100%
National,,All,2020-21,2,7,6.7,19.4,33.3,36,"16,883","25,687","29,067","87,232",> 100%
National,,All,2020-21,3,7.1,6.8,18.9,32.2,31,"15,777","23,683","26,916","83,539",> 100%
National,,All,2020-21,4,7.1,6.8,17.5,29.6,34,"13,832","20,321","23,376","79,051",> 100%
National,,All,2020-21,5,7.2,6.9,16.1,26.4,28,"12,257","17,032","20,126","76,350",> 100%
National,,All,2020-21,6,7.2,6.9,14.3,23.1,24,"10,202","13,518","16,473","71,387",> 100%
National,,All,2020-21,7,7.2,6.9,12.9,20,15,"8,921","10,806","13,879","69,373",> 100%
National,,All,2020-21,8,7.2,6.9,11.3,17.4,18,"7,520","8,653","11,583","66,619",> 100%
National,,All,2020-21,9,7.2,6.9,10.4,15.2,26,"6,579","6,731","9,691","63,578",> 100%
National,,All,2020-21,10,7.1,6.8,9.4,13.7,13,"5,769","5,724","8,480","61,751",> 100%
National,,All,2020-21,11,7.1,6.8,8.8,12.7,6,"5,306","4,892","7,664","60,245",> 100%
National,,All,2020-21,12,7,6.7,8.4,11.9,17,"5,088","4,460","7,244","60,712",> 100%
National,,All,2020-21,13,7,6.7,8.2,11.7,17,"4,757","4,197","6,845","58,569",> 100%
National,,All,2020-21,14,6.9,6.6,8.2,11.6,12,"4,955","4,313","7,046","60,884",> 100%
National,,All,2020-21,15,6.8,6.5,8.4,11.9,7,"4,952","4,449","7,049","59,020",> 100%
National,,All,2020-21,16,6.7,6.4,8.5,12.1,15,"5,122","4,599","7,285","60,147",> 100%
National,,All,2020-21,17,6.6,6.3,8.2,11.4,6,"4,873","4,164","6,822","59,688",> 100%
National,,All,2020-21,18,6.5,6.2,8.1,11.3,9,"4,770","4,006","6,633","58,890",> 100%
National,,All,2020-21,19,6.4,6.1,7.8,10.6,10,"4,529","3,678","6,200","58,334",> 100%
National,,All,2020-21,20,6.3,6,7.4,9.9,9,"4,351","3,237","5,817","58,635",> 100%
National,,All,2020-21,21,6.2,5.9,7,9.2,5,"4,017","2,770","5,251","57,216",> 100%
National,,All,2020-21,22,6.1,5.8,6.8,8.6,8,"3,883","2,347","4,911","57,353",> 100%
National,,All,2020-21,23,6,5.7,6.6,8.2,6,"3,748","2,034","4,674","57,001",> 100%
National,,All,2020-21,24,5.9,5.6,6.5,7.9,11,"3,691","1,776","4,504","57,106",> 100%
National,,All,2020-21,25,5.8,5.5,6.1,7.5,8,"3,474","1,632","4,258","56,765",> 100%
National,,All,2020-21,26,5.7,5.4,5.9,7.1,7,"3,384","1,542","4,103","57,403",> 100%
