AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
Region,Region 1,All,2022-23,40,6.5,5.8,5.6,8.6,0,154,114,238,"2,755",> 100%
Region,Region 1,All,2022-23,41,6.5,5.9,6.6,10.7,0,189,156,306,"2,869",> 100%
Region,Region 1,All,2022-23,42,6.6,6,6.1,10.1,3,164,145,275,"2,725",> 100%
Region,Region 1,All,2022-23,43,6.7,6.1,6.8,11.3,1,191,175,319,"2,833",> 100%
Region,Region 1,All,2022-23,44,6.8,6.2,6.9,10.7,1,198,143,306,"2,865",> 100%
Region,Region 1,All,2022-23,45,6.9,6.3,6.2,9.6,4,169,125,269,"2,804",> 100%
Region,Region 1,All,2022-23,46,7.1,6.4,6.1,8.8,0,163,104,233,"2,661",> 100%
Region,Region 1,All,2022-23,47,7.2,6.6,6.8,9.7,4,190,110,276,"2,856",> 100%
Region,Region 1,All,2022-23,48,7.3,6.7,8,10.9,21,212,115,316,"2,902",> 100%
Region,Region 1,All,2022-23,49,7.5,6.8,8.2,11.3,40,204,127,335,"2,968",> 100%
Region,Region 1,All,2022-23,50,7.6,6.9,8.5,12.1,56,184,140,344,"2,835",> 100%
Region,Region 1,All,2022-23,51,7.7,7.1,9.3,13.2,55,200,140,363,"2,753",> 100%
Region,Region 1,All,2022-23,52,7.8,7.2,10.2,14.3,47,202,155,350,"2,441",97.5%
Region,Region 1,All,2022-23,1,8,7.3,10.7,14.6,50,150,115,273,"1,876",74.9%
Region,Region 2,All,2022-23,40,6.9,6.4,7,10.5,2,332,227,499,"4,768",> 100%
Region,Region 2,All,2022-23,41,7,6.5,6.9,10.5,1,328,252,504,"4,802",> 100%
Region,Region 2,All,2022-23,42,7.1,6.6,7.7,11.4,1,360,254,535,"4,697",> 100%
Region,Region 2,All,2022-23,43,7.2,6.7,8.1,11.4,4,374,239,528,"4,647",> 100%
Region,Region 2,All,2022-23,44,7.3,6.8,7.7,11.6,2,361,265,548,"4,729",> 100%
Region,Region 2,All,2022-23,45,7.5,7,8.1,11.7,6,376,264,554,"4,739",> 100%
Region,Region 2,All,2022-23,46,7.6,7.1,7.6,11.4,8,361,236,550,"4,834",> 100%
Region,Region 2,All,2022-23,47,7.7,7.2,8.4,11.8,26,408,275,609,"5,155",> 100%
Region,Region 2,All,2022-23,48,7.8,7.3,9,12.5,59,404,253,640,"5,135",> 100%
Region,Region 2,All,2022-23,49,7.9,7.4,9.4,13.1,61,421,290,673,"5,125",> 100%
Region,Region 2,All,2022-23,50,8,7.5,9.8,13.9,68,429,314,706,"5,087",> 100%
Region,Region 2,All,2022-23,51,8.1,7.6,10.3,14.6,94,393,310,691,"4,749",> 100%
Region,Region 2,All,2022-23,52,8.2,7.7,10,15.2,77,398,329,721,"4,732",> 100%
Region,Region 2,All,2022-23,1,8.3,7.8,10.3,14.9,71,333,267,586,"3,934",90.4%
Region,Region 3,All,2022-23,40,5.5,5.1,5.3,8.2,0,326,261,505,"6,129",> 100%
Region,Region 3,All,2022-23,41,5.6,5.1,6,8.9,4,361,256,545,"6,118",> 100%
Region,Region 3,All,2022-23,42,5.7,5.2,6.2,9.2,7,363,259,551,"6,007",> 100%
Region,Region 3,All,2022-23,43,5.7,5.3,6.2,9.3,5,379,284,574,"6,151",> 100%
