AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2022-23,40,4.4,5.8,0,49,23,65,"1,123",> 100%
State,Alabama,All,2022-23,41,5.8,6.7,5,62,19,78,"1,164",> 100%
State,Alabama,All,2022-23,42,6.6,7.5,2,75,20,88,"1,171",> 100%
State,Alabama,All,2022-23,43,5.8,7.4,5,61,28,84,"1,134",> 100%
State,Alabama,All,2022-23,44,4.5,6,7,45,21,69,"1,145",> 100%
State,Alabama,All,2022-23,45,6.3,7.3,10,57,17,78,"1,064",> 100%
State,Alabama,All,2022-23,46,5.3,7,9,51,25,79,"1,133",> 100%
State,Alabama,All,2022-23,47,6.7,8.3,9,66,26,92,"1,115",> 100%
State,Alabama,All,2022-23,48,6.5,8,13,63,25,93,"1,161",> 100%
State,Alabama,All,2022-23,49,8.3,10.3,16,74,32,111,"1,078",> 100%
State,Alabama,All,2022-23,50,8.1,11,9,67,38,103,933,93%
State,Alabama,All,2022-23,51,6.8,8.8,5,55,24,77,876,87.4%
State,Alabama,All,2022-23,52,5.6,7.8,3,37,25,56,720,71.8%
State,Alabama,All,2022-23,1,8.7,12.9,2,25,19,40,309,30.8%
State,Alaska,All,2022-23,40,8.1,11.1,0,8,3,11,99,> 100%
State,Alaska,All,2022-23,41,1,4.1,0,1,3,4,97,> 100%
State,Alaska,All,2022-23,42,5.3,7.4,0,5,2,7,95,> 100%
State,Alaska,All,2022-23,43,3.5,4.7,0,3,2,4,86,> 100%
State,Alaska,All,2022-23,44,5.1,7.6,0,4,2,6,79,93.9%
State,Alaska,All,2022-23,45,1,1,0,1,0,1,105,> 100%
State,Alaska,All,2022-23,46,4.8,6,0,4,1,5,84,99.8%
State,Alaska,All,2022-23,47,5.3,8,2,2,3,6,75,89.1%
State,Alaska,All,2022-23,48,9.5,9.5,2,5,0,7,74,87.9%
State,Alaska,All,2022-23,49,7.7,8.7,2,6,1,9,104,> 100%
State,Alaska,All,2022-23,50,7.3,7.3,0,4,0,4,55,65.4%
State,Alaska,All,2022-23,51,10.6,12.8,1,4,2,6,47,55.9%
State,Alaska,All,2022-23,52,8,8,1,1,0,2,25,29.7%
State,Alaska,All,2022-23,1,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2022-23,40,4.8,5.8,0,62,25,75,"1,291",> 100%
State,Arizona,All,2022-23,41,6,7.1,0,74,28,88,"1,231",> 100%
State,Arizona,All,2022-23,42,4.9,6.2,0,61,24,78,"1,257",> 100%
State,Arizona,All,2022-23,43,5.9,7.3,1,76,34,96,"1,310",> 100%
State,Arizona,All,2022-23,44,5.9,8,3,80,47,112,"1,400",> 100%
State,Arizona,All,2022-23,45,5,7.1,4,62,41,95,"1,332",> 100%
State,Arizona,All,2022-23,46,5.8,8.3,5,77,65,117,"1,415",> 100%
State,Arizona,All,2022-23,47,7.3,10.3,5,100,80,149,"1,445",> 100%
State,Arizona,All,2022-23,48,9.5,13.2,10,136,108,202,"1,529",> 100%
State,Arizona,All,2022-23,49,9,14.5,13,117,125,208,"1,439",> 100%
