"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jan-18-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,EIP,2009-10,2009,35,Overall,Overall,Black,0.9,0.9
Entire Network,EIP,2009-10,2009,35,Overall,Overall,Hispanic/Latino,0.4,0.4
Entire Network,EIP,2009-10,2009,35,Overall,Overall,Asian/Pacific Islander,0.3,0.3
Entire Network,EIP,2009-10,2009,35,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,EIP,2009-10,2009,35,Overall,Male,Overall,0.2,0.2
Entire Network,EIP,2009-10,2009,35,Overall,Female,Overall,0.5,0.5
Entire Network,EIP,2009-10,2009,35,Overall,Overall,Overall,0.3,0.3
Entire Network,EIP,2009-10,2009,35,Overall,Overall,White,0.1,0.1
Entire Network,EIP,2009-10,2009,36,Overall,Overall,White,0.6,0.5
Entire Network,EIP,2009-10,2009,36,Overall,Overall,Black,2.8,1.9
Entire Network,EIP,2009-10,2009,36,Overall,Overall,Hispanic/Latino,1.7,1.3
Entire Network,EIP,2009-10,2009,36,Overall,Female,Overall,1.5,1.1
Entire Network,EIP,2009-10,2009,36,Overall,Overall,Asian/Pacific Islander,0.7,0.3
Entire Network,EIP,2009-10,2009,36,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,EIP,2009-10,2009,36,Overall,Male,Overall,1,0.7
Entire Network,EIP,2009-10,2009,36,Overall,Overall,Overall,1.3,0.9
Entire Network,EIP,2009-10,2009,37,Overall,Overall,Black,4.1,1.3
Entire Network,EIP,2009-10,2009,37,Overall,Overall,Hispanic/Latino,3.3,1.6
Entire Network,EIP,2009-10,2009,37,Overall,Female,Overall,2.4,0.9
Entire Network,EIP,2009-10,2009,37,Overall,Overall,Asian/Pacific Islander,1,0.3
Entire Network,EIP,2009-10,2009,37,Overall,Overall,American Indian/Alaska Native,1.6,1.6
Entire Network,EIP,2009-10,2009,37,Overall,Male,Overall,1.7,0.7
Entire Network,EIP,2009-10,2009,37,Overall,Overall,Overall,2.1,0.8
Entire Network,EIP,2009-10,2009,37,Overall,Overall,White,1,0.4
Entire Network,EIP,2009-10,2009,38,Overall,Overall,White,1.6,0.6
Entire Network,EIP,2009-10,2009,38,Overall,Female,Overall,3.6,1.2
Entire Network,EIP,2009-10,2009,38,Overall,Overall,Black,5.6,1.5
Entire Network,EIP,2009-10,2009,38,Overall,Overall,Hispanic/Latino,5.1,1.8
Entire Network,EIP,2009-10,2009,38,Overall,Overall,Asian/Pacific Islander,1.6,0.6
Entire Network,EIP,2009-10,2009,38,Overall,Overall,American Indian/Alaska Native,4,2.4
Entire Network,EIP,2009-10,2009,38,Overall,Overall,Overall,3.1,1
Entire Network,EIP,2009-10,2009,38,Overall,Male,Overall,2.6,0.9
Entire Network,EIP,2009-10,2009,39,Overall,Overall,Overall,4.7,1.6
Entire Network,EIP,2009-10,2009,39,Overall,Male,Overall,3.9,1.3
Entire Network,EIP,2009-10,2009,39,Overall,Overall,Black,7.8,2.2
Entire Network,EIP,2009-10,2009,39,Overall,Overall,Hispanic/Latino,7.9,2.9
Entire Network,EIP,2009-10,2009,39,Overall,Overall,Asian/Pacific Islander,2.2,0.6
Entire Network,EIP,2009-10,2009,39,Overall,Overall,American Indian/Alaska Native,4,0
Entire Network,EIP,2009-10,2009,39,Overall,Female,Overall,5.4,1.8
Entire Network,EIP,2009-10,2009,39,Overall,Overall,White,2.5,0.9
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Black,11,3.2
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Hispanic/Latino,12.6,4.6
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,3.6,1.4
Entire Network,EIP,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,9.6,5.6
Entire Network,EIP,2009-10,2009,40,Overall,Female,Overall,8.3,2.9
Entire Network,EIP,2009-10,2009,40,Overall,Male,Overall,6.4,2.4
Entire Network,EIP,2009-10,2009,40,Overall,Overall,Overall,7.4,2.7
Entire Network,EIP,2009-10,2009,40,Overall,Overall,White,4.2,1.6
Entire Network,EIP,2009-10,2009,41,Overall,Overall,Hispanic/Latino,17.1,4.5
Entire Network,EIP,2009-10,2009,41,Overall,Overall,Black,15.5,4.4
Entire Network,EIP,2009-10,2009,41,Overall,Female,Overall,11.8,3.5
Entire Network,EIP,2009-10,2009,41,Overall,Overall,Overall,10.8,3.4
Entire Network,EIP,2009-10,2009,41,Overall,Male,Overall,9.6,3.3
Entire Network,EIP,2009-10,2009,41,Overall,Overall,American Indian/Alaska Native,16.8,7.2
Entire Network,EIP,2009-10,2009,41,Overall,Overall,Asian/Pacific Islander,5,1.4
Entire Network,EIP,2009-10,2009,41,Overall,Overall,White,6.5,2.3
Entire Network,EIP,2009-10,2009,42,Overall,Overall,Black,20.2,4.8
Entire Network,EIP,2009-10,2009,42,Overall,Overall,Hispanic/Latino,21.6,4.5
Entire Network,EIP,2009-10,2009,42,Overall,Overall,Asian/Pacific Islander,6.7,1.8
Entire Network,EIP,2009-10,2009,42,Overall,Overall,American Indian/Alaska Native,22.4,5.6
Entire Network,EIP,2009-10,2009,42,Overall,Female,Overall,15.7,3.9
Entire Network,EIP,2009-10,2009,42,Overall,Male,Overall,13.2,3.6
Entire Network,EIP,2009-10,2009,42,Overall,Overall,Overall,14.5,3.8
Entire Network,EIP,2009-10,2009,42,Overall,Overall,White,9.3,2.9
Entire Network,EIP,2009-10,2009,43,Overall,Male,Overall,16.8,3.5
Entire Network,EIP,2009-10,2009,43,Overall,Female,Overall,19.1,3.4
Entire Network,EIP,2009-10,2009,43,Overall,Overall,American Indian/Alaska Native,27.2,4.8
Entire Network,EIP,2009-10,2009,43,Overall,Overall,Asian/Pacific Islander,8.4,1.7
Entire Network,EIP,2009-10,2009,43,Overall,Overall,Hispanic/Latino,25.2,3.6
Entire Network,EIP,2009-10,2009,43,Overall,Overall,Black,24.5,4.2
Entire Network,EIP,2009-10,2009,43,Overall,Overall,Overall,17.9,3.4
Entire Network,EIP,2009-10,2009,43,Overall,Overall,White,12.2,2.8
Entire Network,EIP,2009-10,2009,44,Overall,Overall,White,14.5,2.3
Entire Network,EIP,2009-10,2009,44,Overall,Male,Overall,19.7,2.9
Entire Network,EIP,2009-10,2009,44,Overall,Overall,Overall,20.8,2.9
Entire Network,EIP,2009-10,2009,44,Overall,Overall,Black,28.2,3.7
