"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jan-18-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Iowa,IHSP,2009-10,2009,35,Overall,Overall,White,0,0
Iowa,IHSP,2009-10,2009,35,Overall,Overall,Black,0,0
Iowa,IHSP,2009-10,2009,35,Overall,Overall,Hispanic/Latino,1.4,1.4
Iowa,IHSP,2009-10,2009,35,Overall,Female,Overall,0,0
Iowa,IHSP,2009-10,2009,35,Overall,Overall,Asian/Pacific Islander,0,0
Iowa,IHSP,2009-10,2009,35,Overall,Overall,American Indian/Alaska Native,0,0
Iowa,IHSP,2009-10,2009,35,Overall,Male,Overall,0.2,0.2
Iowa,IHSP,2009-10,2009,35,Overall,Overall,Overall,0.1,0.1
Idaho,IHSP,2009-10,2009,35,Overall,Overall,White,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Overall,Black,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Overall,Hispanic/Latino,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Overall,Asian/Pacific Islander,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Female,Overall,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Overall,American Indian/Alaska Native,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Male,Overall,0,0
Idaho,IHSP,2009-10,2009,35,Overall,Overall,Overall,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Overall,White,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Overall,Black,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Overall,Hispanic/Latino,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Overall,Asian/Pacific Islander,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Overall,American Indian/Alaska Native,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Overall,Overall,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Female,Overall,0,0
Michigan,IHSP,2009-10,2009,35,Overall,Male,Overall,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Overall,White,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Overall,Black,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Overall,Hispanic/Latino,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Overall,Asian/Pacific Islander,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Female,Overall,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Overall,American Indian/Alaska Native,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Male,Overall,0,0
Michigan,IHSP,2009-10,2009,36,Overall,Overall,Overall,0,0
Iowa,IHSP,2009-10,2009,36,Overall,Overall,Overall,0.3,0.2
Idaho,IHSP,2009-10,2009,36,Overall,Overall,White,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Overall,Black,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Overall,American Indian/Alaska Native,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Overall,Hispanic/Latino,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Overall,Asian/Pacific Islander,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Male,Overall,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Female,Overall,0,0
Idaho,IHSP,2009-10,2009,36,Overall,Overall,Overall,0,0
Iowa,IHSP,2009-10,2009,36,Overall,Overall,White,0.2,0.2
Iowa,IHSP,2009-10,2009,36,Overall,Overall,Black,0,0
Iowa,IHSP,2009-10,2009,36,Overall,Overall,Hispanic/Latino,1.4,0
Iowa,IHSP,2009-10,2009,36,Overall,Overall,Asian/Pacific Islander,0,0
Iowa,IHSP,2009-10,2009,36,Overall,Overall,American Indian/Alaska Native,0,0
Iowa,IHSP,2009-10,2009,36,Overall,Male,Overall,0.2,0
Iowa,IHSP,2009-10,2009,36,Overall,Female,Overall,0.3,0.3
Iowa,IHSP,2009-10,2009,37,Overall,Overall,White,0.2,0
Iowa,IHSP,2009-10,2009,37,Overall,Overall,Black,0,0
Iowa,IHSP,2009-10,2009,37,Overall,Overall,Hispanic/Latino,1.4,0
Iowa,IHSP,2009-10,2009,37,Overall,Overall,Asian/Pacific Islander,0,0
Iowa,IHSP,2009-10,2009,37,Overall,Female,Overall,0.3,0
Iowa,IHSP,2009-10,2009,37,Overall,Overall,American Indian/Alaska Native,0,0
Iowa,IHSP,2009-10,2009,37,Overall,Male,Overall,0.2,0
