"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jan-18-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Oregon,EIP,2009-10,2009,35,Overall,Overall,White,0,0
Oregon,EIP,2009-10,2009,35,Overall,Overall,Black,0,0
Oregon,EIP,2009-10,2009,35,Overall,Overall,Hispanic/Latino,0.5,0.5
Oregon,EIP,2009-10,2009,35,Overall,Overall,Asian/Pacific Islander,0,0
Oregon,EIP,2009-10,2009,35,Overall,Overall,American Indian/Alaska Native,0,0
Oregon,EIP,2009-10,2009,35,Overall,Male,Overall,0,0
Oregon,EIP,2009-10,2009,35,Overall,Female,Overall,0.1,0.1
Oregon,EIP,2009-10,2009,35,Overall,Overall,Overall,0.1,0.1
Tennessee,EIP,2009-10,2009,35,Overall,Overall,White,0.3,0.3
Tennessee,EIP,2009-10,2009,35,Overall,Overall,Black,1.7,1.7
Tennessee,EIP,2009-10,2009,35,Overall,Overall,Hispanic/Latino,1,1
Tennessee,EIP,2009-10,2009,35,Overall,Overall,Asian/Pacific Islander,0,0
Tennessee,EIP,2009-10,2009,35,Overall,Overall,American Indian/Alaska Native,0,0
Tennessee,EIP,2009-10,2009,35,Overall,Female,Overall,1.1,1.1
Tennessee,EIP,2009-10,2009,35,Overall,Overall,Overall,0.5,0.5
Tennessee,EIP,2009-10,2009,35,Overall,Male,Overall,0,0
Oregon,EIP,2009-10,2009,36,Overall,Overall,Overall,0.2,0.1
Tennessee,EIP,2009-10,2009,36,Overall,Overall,White,1.2,0.9
Tennessee,EIP,2009-10,2009,36,Overall,Overall,Black,7,5.4
Tennessee,EIP,2009-10,2009,36,Overall,Overall,Hispanic/Latino,3,2
Tennessee,EIP,2009-10,2009,36,Overall,Overall,Asian/Pacific Islander,5.2,5.2
Oregon,EIP,2009-10,2009,36,Overall,Overall,White,0.1,0.1
Oregon,EIP,2009-10,2009,36,Overall,Overall,Black,0,0
Oregon,EIP,2009-10,2009,36,Overall,Overall,Hispanic/Latino,1.1,0.5
Oregon,EIP,2009-10,2009,36,Overall,Overall,Asian/Pacific Islander,0,0
Oregon,EIP,2009-10,2009,36,Overall,Female,Overall,0.1,0
Oregon,EIP,2009-10,2009,36,Overall,Overall,American Indian/Alaska Native,0,0
Oregon,EIP,2009-10,2009,36,Overall,Male,Overall,0.2,0.2
Tennessee,EIP,2009-10,2009,36,Overall,Overall,American Indian/Alaska Native,0,0
Tennessee,EIP,2009-10,2009,36,Overall,Female,Overall,2.9,1.8
Tennessee,EIP,2009-10,2009,36,Overall,Male,Overall,1.8,1.8
Tennessee,EIP,2009-10,2009,36,Overall,Overall,Overall,2.4,1.8
Tennessee,EIP,2009-10,2009,37,Overall,Overall,White,1.7,0.5
Tennessee,EIP,2009-10,2009,37,Overall,Overall,Black,8.7,1.7
Tennessee,EIP,2009-10,2009,37,Overall,Overall,Hispanic/Latino,4,1
Tennessee,EIP,2009-10,2009,37,Overall,Overall,Asian/Pacific Islander,7.8,2.6
Oregon,EIP,2009-10,2009,37,Overall,Overall,White,0.2,0.1
Oregon,EIP,2009-10,2009,37,Overall,Overall,Black,0,0
Oregon,EIP,2009-10,2009,37,Overall,Overall,Hispanic/Latino,2.1,1.1
Oregon,EIP,2009-10,2009,37,Overall,Overall,Asian/Pacific Islander,0,0
Oregon,EIP,2009-10,2009,37,Overall,Female,Overall,0.2,0.1
Oregon,EIP,2009-10,2009,37,Overall,Overall,American Indian/Alaska Native,0,0
Oregon,EIP,2009-10,2009,37,Overall,Male,Overall,0.5,0.2
Oregon,EIP,2009-10,2009,37,Overall,Overall,Overall,0.4,0.2
Tennessee,EIP,2009-10,2009,37,Overall,Female,Overall,4.1,1.2
Tennessee,EIP,2009-10,2009,37,Overall,Overall,Overall,3.2,0.8
Tennessee,EIP,2009-10,2009,37,Overall,Overall,American Indian/Alaska Native,0,0
Tennessee,EIP,2009-10,2009,37,Overall,Male,Overall,2.2,0.4
